id,SquareFeet,Bedrooms,Bathrooms,Neighborhood,YearBuilt,Price
234,2354,4,1,Rural,2011,265274.0039736152
235,2663,2,3,Suburb,1993,283301.9362070697
236,2529,5,3,Rural,1985,291195.67134809634
237,2371,4,1,Suburb,1953,240277.00975870187
238,2496,3,2,Rural,1970,316708.5953854667
239,2254,4,3,Rural,1966,267724.6993464473
240,1189,2,2,Suburb,1965,52033.75929268488
241,2248,3,2,Suburb,1990,157260.98352993536
242,2408,5,2,Suburb,2004,349887.387165537
243,2400,3,2,Rural,2006,302581.5244158059
244,2306,3,3,Suburb,2015,267740.4346651604
245,2981,3,3,Rural,1987,296942.7544003423
246,1632,4,3,Rural,2005,211665.6221785599
247,1627,5,1,Suburb,1986,240462.67775685625
248,1972,2,1,Urban,1999,221900.77310879892
249,2768,4,2,Urban,2004,337510.5084427254
250,2282,5,1,Rural,1950,351438.5468115283
251,2382,5,2,Rural,2014,207718.7411877128
252,1709,4,2,Urban,2014,187379.39012426996
253,2479,3,3,Rural,1993,325104.8263530242
254,2434,5,3,Urban,1961,234064.51365009736
255,1648,2,1,Rural,2002,168976.49535597963
256,1317,4,3,Rural,2010,72491.39025921248
257,2700,5,1,Suburb,1962,397825.33643637935
258,2248,2,3,Urban,1991,224680.0524200836
259,2842,2,3,Rural,1995,297609.7185248232
260,2257,2,1,Urban,1991,211357.56307458412
261,1683,2,2,Suburb,1965,191156.38414084716
262,1663,4,1,Urban,1993,198444.2855472129
263,2998,2,3,Rural,2019,227602.84522047613
264,2850,4,2,Urban,1965,227374.5843014784
265,2397,2,3,Suburb,1971,311492.246607957
266,2695,2,3,Urban,1984,341035.6518169741
267,2631,4,3,Urban,1998,329215.4127322002
268,2495,3,2,Urban,2020,189722.8949577994
269,2256,5,3,Urban,2013,315304.2483174342
270,2715,5,1,Rural,1980,229019.4794959325
271,2136,4,1,Urban,1950,218041.2170573715
272,2853,2,1,Suburb,1974,256367.864328076
273,2520,4,2,Urban,1969,427589.0870411169
274,1441,2,1,Suburb,1957,161116.81865195103
275,1563,4,3,Suburb,2013,182494.88596722667
276,2291,5,2,Suburb,1965,276165.905109651
277,2533,4,3,Suburb,2004,314516.6129790323
278,2830,5,3,Rural,1975,272012.265169515
279,2409,5,3,Urban,2014,342249.54232187086
280,2410,5,1,Urban,1977,258023.51102204097
281,2136,4,1,Rural,1995,115459.88197304336
282,2636,3,2,Urban,2003,240419.9739043436
283,2648,4,2,Rural,2003,388951.7892392383
284,1951,4,1,Suburb,2021,250119.2128528494
285,2104,3,1,Urban,1998,210586.97653456448
286,1698,3,3,Suburb,1995,234243.624414166
287,1112,5,1,Urban,1950,69293.96649206044
288,1001,2,3,Urban,1993,163837.68243703258
289,1641,2,1,Urban,1953,252127.9862511156
290,1219,5,3,Suburb,1980,117989.35682972187
291,2589,4,1,Rural,1964,313948.4453118486
292,1854,2,1,Suburb,1950,254919.27518581905
293,2759,4,2,Rural,2021,197521.82717092487
294,2248,3,2,Urban,1955,198494.040257516
295,1384,3,3,Urban,1976,152204.7558913935
296,2426,5,2,Urban,1975,308529.3077393932
297,2661,4,2,Urban,2015,308854.90099919715
298,2153,5,1,Suburb,1962,246860.55002366885
299,2076,2,3,Rural,2020,225867.2386279585
300,2707,2,2,Rural,1983,249678.22890096117
301,1729,2,2,Rural,1982,108636.47522678511
302,2695,4,1,Urban,1989,299818.56075223465
303,2733,5,1,Suburb,1992,290094.597001723
304,2439,5,1,Urban,1956,272077.872708492
305,1246,2,3,Rural,1988,130941.48294297824
306,1835,5,1,Suburb,2015,241849.2414576917
307,2462,3,3,Suburb,1985,206273.30005677108
308,1202,3,1,Urban,2013,155086.4598591631
309,2207,3,2,Suburb,1953,169742.87033019328
310,1122,3,3,Suburb,1971,148324.403196361
311,1400,5,1,Suburb,2020,184460.04344561708
312,1766,3,1,Urban,1953,138095.4799175649
313,1293,3,2,Urban,2013,205414.9104558009
314,1279,3,2,Suburb,1971,183265.3989623526
315,2860,3,2,Urban,2011,284616.467279546
316,1883,3,1,Suburb,1989,181947.6428840441
317,2633,4,2,Rural,1969,284003.76941338705
318,1197,4,2,Rural,1958,90959.78932620135
319,1981,3,3,Suburb,2014,198755.14636608923
320,2930,3,3,Rural,1972,370459.8290291032
321,2534,5,3,Rural,1984,348379.2664670972
322,1751,3,1,Rural,2008,270704.1541412828
323,1143,2,3,Suburb,1963,168931.8286047524
324,1608,4,1,Urban,1993,189126.05140688832
325,2224,3,2,Suburb,1971,218168.70814067312
326,2147,4,1,Suburb,1977,199220.1955072361
327,1186,3,1,Urban,2008,129960.0168172268
328,2349,2,2,Suburb,1996,281507.7449630544
329,1463,3,3,Suburb,2017,169378.78481722157
330,2372,4,3,Suburb,2019,248599.1076612193
331,2794,4,3,Rural,1966,411678.0284271322
332,1659,4,2,Suburb,1980,119032.8829834174
333,1763,5,1,Suburb,1963,230075.0498156624
334,1954,4,2,Urban,1998,122604.95616584706
335,2955,3,2,Rural,2016,296998.838109315
336,1402,2,2,Rural,1970,109470.14273140584
337,2369,2,2,Suburb,1962,246212.1973150715
338,2986,3,1,Rural,1999,310583.0758590737
339,2534,5,3,Rural,2017,233756.8863821809
340,1146,3,3,Urban,1961,100102.22524595106
341,2171,4,2,Urban,1997,199324.84069986545
342,1863,5,1,Rural,2013,331026.59636098804
343,2734,3,2,Urban,1964,231041.34837459872
344,2843,5,1,Suburb,1965,333530.0633743215
345,1488,2,2,Urban,2021,61092.661234490224
346,1928,3,3,Suburb,1999,205778.3124412656
347,2959,3,3,Urban,1990,384570.7364514372
348,2663,2,2,Rural,1953,339772.9527372086
349,1550,5,3,Suburb,1969,186745.12964093967
350,1337,2,2,Urban,1957,185559.0801900139
351,1871,5,1,Urban,2017,213894.31463154923
352,1640,3,1,Suburb,1996,180978.0156828019
353,2802,5,1,Urban,1982,243011.57473076603
354,2976,5,1,Rural,1954,265075.948204332
355,1472,4,2,Suburb,2017,163315.12699992972
356,2969,4,3,Rural,1990,384847.049904619
357,1150,4,1,Suburb,2010,190479.19894101736
358,2438,2,3,Suburb,1973,204129.2143255608
359,2321,2,2,Suburb,1976,249930.1176296619
360,2634,4,3,Suburb,1978,372750.474809396
361,1262,3,3,Rural,2016,189650.20106156013
362,2787,3,3,Rural,1986,308299.31208062085
363,1143,3,2,Suburb,2002,95784.07401708022
364,1345,2,2,Suburb,1951,165456.11841318812
365,1623,5,2,Rural,1986,236531.66553606672
366,2016,2,3,Suburb,2021,212190.754931357
367,2595,4,1,Suburb,2014,298280.3606844734
368,1880,5,1,Rural,1997,172765.2509259063
369,1001,3,3,Rural,1998,151917.35363762768
370,1896,2,1,Rural,1996,196497.06930440952
371,2327,2,1,Urban,1953,212603.1701695292
372,1253,4,3,Suburb,1952,205827.91372135773
373,2675,3,2,Rural,1985,350608.1323068653
374,1452,2,1,Suburb,1955,64055.91437875759
375,2060,2,2,Urban,1983,202645.46873652583
376,2183,5,1,Rural,2001,215636.3058238462
377,2014,2,3,Rural,1980,210336.9814886116
378,1008,5,3,Suburb,1983,161063.73607289075
379,2256,2,2,Suburb,1991,162732.68100454088
380,2122,3,2,Rural,1997,283190.3905839381
381,2682,4,2,Rural,2005,257018.5571445656
382,1815,3,2,Suburb,1967,161315.08881199546
383,1207,4,3,Suburb,1963,171344.51259950385
384,2154,2,3,Rural,2018,301758.3277786632
385,1403,3,3,Urban,2007,186512.3186615685
386,1151,5,2,Suburb,2019,147961.73986336417
387,1053,4,3,Suburb,2005,96856.0932254072
388,2143,4,3,Suburb,2002,241976.24174705177
389,2696,2,1,Rural,2018,256546.84581714935
390,2943,4,1,Rural,2009,245612.12503446644
391,1627,4,1,Rural,1981,192616.91072899688
392,1586,4,2,Suburb,1996,234537.6253437164
393,2648,2,2,Suburb,1971,266525.8016301305
394,2991,3,3,Urban,1953,411274.8172102008
395,2443,2,3,Rural,1974,241617.27376623056
396,2445,5,2,Rural,2010,230463.81535562876
397,1103,4,1,Suburb,1961,249885.94696430844
398,2875,4,3,Suburb,1980,320712.17394718895
399,1253,3,1,Urban,1950,131536.1635751427
400,2250,4,3,Suburb,2010,258681.64856947903
401,2135,3,1,Suburb,1955,236721.57971005855
402,1509,4,3,Suburb,1971,152417.95938444213
403,2496,4,1,Urban,1961,277449.0163566118
404,1098,2,1,Urban,1972,97639.64420350434
405,1152,2,2,Urban,1984,68864.72803706494
406,2884,5,3,Urban,1963,292602.0202390748
407,1913,3,1,Urban,1979,163126.63462798466
408,2919,5,2,Rural,1971,316117.1565885165
409,1877,2,3,Suburb,1965,173591.51575437415
410,1337,3,2,Urban,2020,245240.86934782268
411,2729,2,1,Urban,1964,299136.08095898724
412,1821,3,3,Urban,1951,102620.91177154332
413,2186,4,1,Urban,1971,174740.9101274219
414,2743,5,1,Suburb,2012,303839.76221234776
415,1956,5,2,Suburb,1964,255500.6502956529
416,2704,3,1,Rural,1968,305226.1480002337
417,1160,5,3,Suburb,1970,174048.9195625192
418,2603,2,2,Urban,1976,240369.9407103269
419,1800,5,1,Urban,1968,310732.5930169608
420,1397,3,1,Urban,1975,125680.08165265153
421,2300,5,1,Urban,1998,303253.7531069421
422,1815,5,2,Suburb,2007,137931.9765937645
423,2939,2,3,Suburb,2016,238181.44457414243
424,2527,4,2,Rural,1974,299144.4834011201
425,2919,2,1,Suburb,1971,340122.3586828582
426,2415,5,2,Urban,1963,230193.1787231853
427,2158,5,1,Urban,1958,300494.89658879273
428,2218,4,2,Suburb,1971,267560.2687840433
429,1400,4,1,Rural,1964,173748.30901295756
430,1639,2,2,Rural,1989,198112.8732028993
431,2056,4,1,Suburb,2014,237224.42820565245
432,1687,2,1,Suburb,2002,130383.649751031
433,1459,3,2,Suburb,1980,248587.29005790915
434,1954,5,2,Urban,1959,268826.7410314462
435,2906,4,1,Suburb,1983,307426.13760987023
436,1469,3,3,Suburb,1986,224293.97218700784
437,2398,3,1,Rural,1962,335992.3788479656
438,2045,2,1,Rural,1987,265649.0843029641
439,1749,2,3,Urban,1994,218960.6472310992
440,2693,4,1,Rural,1959,257512.558546102
441,1037,2,2,Rural,1971,86619.3046619419
442,1229,3,2,Suburb,2010,48780.11212797354
443,2388,3,3,Rural,1987,274896.26156200573
444,1562,5,1,Rural,2007,181237.83172594447
445,1437,3,2,Rural,1975,49052.37096077934
446,2799,4,1,Rural,1998,182649.2382746536
447,2306,5,3,Rural,2011,347942.00526169845
448,1026,2,2,Rural,1958,31998.01567703142
449,1225,5,3,Rural,2009,181103.2634891242
450,2300,3,1,Rural,1979,172216.0833107921
451,1797,4,1,Urban,1970,273262.8516738026
452,2632,2,1,Suburb,1999,306987.05161477905
453,1283,2,3,Rural,1978,172933.77203910236
454,1878,3,2,Suburb,1989,159685.44672150235
455,1959,4,3,Rural,1966,244916.4657968306
456,2504,3,2,Urban,2017,250927.64164111172
457,1452,3,1,Rural,2013,86276.33242040729
458,2019,4,1,Urban,1972,209029.94857251868
459,2852,3,3,Rural,1956,267060.0307693574
460,1815,4,2,Rural,1983,158867.81990114367
461,1658,4,1,Suburb,1973,200254.7187053508
462,2539,3,1,Rural,1956,197039.39492254207
463,1546,3,3,Rural,1957,251427.1553830112
464,2215,5,3,Urban,1952,298798.8574661124
465,2072,2,2,Suburb,1953,209615.3837860778
466,2535,2,1,Rural,2012,343628.22962201404
467,1016,4,2,Suburb,2015,86742.69815572829
468,2195,5,2,Suburb,2018,260504.83069560924
469,2243,4,2,Rural,1959,267664.3312110141
470,1157,5,3,Rural,2012,87137.890454451
471,1476,4,2,Rural,1986,217625.4427144939
472,2069,2,2,Rural,2021,179619.68105889083
473,2396,5,2,Rural,1952,304272.5427676434
474,1517,3,3,Suburb,1978,180446.9392014465
475,1098,3,3,Urban,2011,96810.15543797814
476,2915,2,1,Suburb,1982,293526.34787643905
477,2768,5,3,Rural,2009,333027.9076426232
478,2060,3,3,Suburb,1991,261561.33142323635
479,1279,3,2,Urban,2011,60826.5300881568
480,2372,3,1,Suburb,1955,278442.1634559852
481,1496,2,3,Rural,1998,123828.10360692852
482,1301,4,1,Rural,2021,88586.0572983957
483,1180,3,2,Rural,1992,134443.89746195945
484,1606,3,3,Urban,1958,136925.17083144034
485,2122,4,2,Rural,2000,234164.8909559664
486,1699,3,2,Rural,1963,150304.54943999165
487,1992,5,1,Rural,1973,240050.4959834057
488,2139,3,3,Rural,2021,277542.7034815458
489,1190,4,1,Suburb,1982,197241.25178700703
490,1252,2,2,Rural,1978,101805.59807931488
491,1980,2,3,Suburb,1951,197810.6222732038
492,1927,5,2,Urban,2001,172279.06490573462
493,2184,3,1,Suburb,1994,205236.28390756497
494,2279,3,1,Suburb,1987,206408.53323173916
495,2346,4,2,Suburb,1994,279439.98438546
496,1127,4,1,Suburb,1965,127174.72259461066
497,1017,5,1,Suburb,1996,127458.03900892238
498,2816,5,2,Suburb,1974,356063.8292210288
499,2758,3,3,Urban,2006,344787.61939305766
500,1565,3,3,Rural,1968,153282.85159103858
501,1569,5,3,Urban,1987,23125.99668198565
502,2346,2,2,Suburb,2015,297939.72321022314
503,2895,2,2,Suburb,1956,348536.6136271412
504,1685,2,1,Suburb,1969,145096.73485398138
505,2815,2,3,Urban,1953,316533.4621599929
506,1625,5,1,Suburb,1964,273166.5599546608
507,2311,4,2,Urban,2013,343467.41393072536
508,2966,2,3,Suburb,2006,258865.961319416
509,1853,5,2,Suburb,1999,197763.06532333908
510,2686,2,1,Urban,1966,196431.16181485064
511,1961,3,1,Urban,1965,192271.5714413316
512,2662,2,2,Urban,1952,252805.98468674356
513,1154,5,2,Urban,1994,20075.48609393928
514,1489,3,3,Suburb,1993,225167.54229185847
515,2409,3,2,Suburb,2011,333108.7015124155
516,1784,2,1,Rural,1958,253462.8412249309
517,2127,2,1,Suburb,2009,273921.24430261354
518,2952,3,2,Suburb,2006,230500.45057300347
519,2416,4,2,Suburb,2010,361696.0810396887
520,2834,5,3,Suburb,2013,319789.84660978575
521,1245,5,1,Suburb,1966,174765.256712796
522,2199,5,1,Rural,2007,300718.816645502
523,2062,5,1,Urban,1996,261326.85093700883
524,2500,5,2,Suburb,2001,363561.9094447919
525,2705,3,1,Suburb,1967,251734.5890102333
526,1758,5,2,Urban,1986,280965.8950193331
527,1537,4,3,Urban,2019,110904.32560798927
528,2890,4,2,Rural,1966,335743.30890850566
529,2841,2,3,Rural,1952,276296.33685332374
530,1920,2,3,Rural,1982,222212.13213889327
531,1407,2,2,Urban,1956,221697.81574055224
532,1524,2,3,Suburb,1951,223582.38488034377
533,1827,3,2,Urban,1983,206212.79258609767
534,2529,4,1,Suburb,1953,214945.59477018565
535,1902,3,2,Urban,1998,152143.29657619866
536,2848,4,3,Urban,1966,376480.3015198191
537,1035,3,3,Urban,2020,135298.4456835019
538,1684,4,1,Urban,1961,160232.42030870466
539,1019,2,2,Suburb,1993,70855.37071563367
540,1320,4,1,Suburb,1998,183736.7270283909
541,2799,2,3,Suburb,2018,388318.721111638
542,1511,4,2,Suburb,1966,165073.71563418454
543,1399,3,3,Rural,1987,213210.0434161304
544,1653,5,2,Rural,2005,140382.87226040527
545,1971,4,1,Urban,2010,260495.08469184453
546,2906,3,1,Suburb,1981,385304.7144909709
547,1470,5,3,Suburb,2005,144254.79594351217
548,2166,3,1,Urban,1972,277469.1074047808
549,2115,5,1,Urban,2015,252361.13148515
550,2377,2,3,Urban,2016,256202.9962478454
551,1833,4,3,Suburb,1954,139343.72748855263
552,2823,3,3,Suburb,1972,246154.6872755705
553,1726,4,2,Suburb,2000,218372.93023353268
554,2982,2,3,Rural,1974,309839.69209195976
555,1853,2,2,Urban,1973,219293.0105853752
556,1050,4,3,Suburb,1979,203482.1889124172
557,2688,3,2,Urban,2000,220036.0304825068
558,2721,3,3,Rural,1979,365466.45278472325
559,1574,3,2,Urban,2021,125013.14514330492
560,2213,4,1,Suburb,1995,234126.80566940556
561,2148,3,3,Urban,2006,213331.2022846543
562,1149,3,3,Suburb,1978,91677.1743135704
563,1313,5,2,Rural,2011,262434.5217293376
564,1569,3,1,Rural,1978,184359.5380741188
565,2365,2,1,Suburb,1986,323820.0405682337
566,1304,3,2,Rural,1989,97808.59675103222
567,2715,4,3,Urban,2004,298075.9523945043
568,1681,4,1,Rural,1975,128702.11481480266
569,1837,3,3,Rural,1976,129730.19741095706
570,2806,4,2,Rural,2000,326637.4753191202
571,2077,4,3,Rural,1971,241442.143756707
